Id,Long Name (en),Long Name (fr),Short Name (fr),Short Name (en),Candidate Suffix,Custom Name
ATN,Alliance of the North,Alliance du Nord,ADN,ATN, ATN/ADN,
AA,Animal Alliance Environment Voters Party of Canada,Animal Alliance Environment Voters Party of Canada,Animal Alliance/Environment Voters,Animal Alliance/Environment Voters, Animal Alliance/Environment Voters/Animal Alliance/Environment Voters,
BQ,Bloc Québécois,Bloc Québécois,Bloc Québécois,Bloc Québécois, Bloc Québécois/Bloc Québécois,Bloc Québécois
CAN,Canada Party,Parti Canada,Parti Canada,Canada Party, Canada Party/Parti Canada,
CAP,Canadian Action Party,Parti action canadienne,PAC,CAP, CAP/PAC,
CHP,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Parti de l'Héritage Chrétien,Christian Heritage Party, Christian Heritage Party/Parti de l'Héritage Chrétien,
COM,Communist Party of Canada,Parti communiste du Canada,Communiste,Communist, Communist/Communiste,
CPC,Conservative Party of Canada,Parti conservateur du Canada,Conservateur,Conservative, Conservative/Conservateur,Conservative
DAP,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Démocratie au Canada,Avancement de la Démocratie,Democratic Advancement, Democratic Advancement/Avancement de la Démocratie,
FD,Forces et Démocratie,Forces et Démocratie,Forces et Démocratie - Allier les forces de nos régions,Forces et Démocratie - Allier les forces de nos régions, Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,
GRN,Green Party of Canada,Le Parti Vert du Canada,Parti Vert,Green Party, Green Party/Parti Vert,Green Party
LIB,Liberal Party of Canada,Parti libéral du Canada,Libéral,Liberal, Liberal/Libéral,Liberal
LTN,Libertarian Party of Canada,Parti Libertarien du Canada,Libertarien,Libertarian, Libertarian/Libertarien,
MAR,Marijuana Party,Parti Marijuana,Radical Marijuana,Marijuana, Marijuana/Radical Marijuana,
ML,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Marxiste-Léniniste,Marxist-Leninist, Marxist-Leninist/Marxiste-Léniniste,
NDP,New Democratic Party,Nouveau Parti démocratique,NPD-Nouveau Parti démocratique,NDP-New Democratic Party, NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
PACT,"Party for Accountability, Competency and Transparency","Parti pour la Responsabilisation, la Compétence et la Transparence",PRCT,PACT, PACT/PRCT,
PIR,Pirate Party of Canada,Parti Pirate du Canada,Pirate,Pirate, Pirate/Pirate,
PC,Progressive Canadian Party,Parti Progressiste Canadien,Parti PC,PC Party, PC Party/Parti PC,
RHI,Rhinoceros Party,Parti Rhinocéros,Rhinocéros,Rhinoceros, Rhinoceros/Rhinocéros,
SEN,Seniors Party of Canada,Parti des aînés du Canada,Parti des aînés,Seniors Party, Seniors Party/Parti des aînés,
BDG,The Bridge Party of Canada,Parti pour nouer des liens entre Canadiens,Le Lien,The Bridge, The Bridge/Le Lien,
UNI,United Party of Canada,Parti Uni du Canada,Parti Uni,United Party, United Party/Parti Uni,
IND,Independent,Indépendant,Indépendant,Independent, Independent/Indépendant,
NOA,No Affiliation,Aucune appartenance,Aucune appartenance,No Affiliation, No Affiliation/Aucune appartenance,
